id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
39,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
44,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
45,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
46,42 Draconis b,296,3.88 Jupiters,4.8262,2008
47,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
48,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
49,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
50,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
51,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
52,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
53,14 Herculis b,58,4.66 Jupiters,6.61935,2002
54,16 Cygni B b,69,1.78 Jupiters,6.215,1996
55,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
56,18 Delphini b,249,10.3 Jupiters,5.51048,2008
57,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
58,24 Bootis b,313,0.91 Jupiters,5.59,2018
59,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
60,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
61,2M0437 b,419,4 Jupiters,16.186,2021
62,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
63,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
64,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
65,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
66,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
67,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
68,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
69,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
70,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
71,42 Draconis b,296,3.88 Jupiters,4.8262,2008
72,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
73,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
74,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
75,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
76,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
77,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
78,14 Herculis b,58,4.66 Jupiters,6.61935,2002
79,16 Cygni B b,69,1.78 Jupiters,6.215,1996
80,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
81,18 Delphini b,249,10.3 Jupiters,5.51048,2008
82,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
83,24 Bootis b,313,0.91 Jupiters,5.59,2018
84,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
85,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
86,2M0437 b,419,4 Jupiters,16.186,2021
87,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
88,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
89,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
90,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
91,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
92,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
93,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
94,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
95,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
96,42 Draconis b,296,3.88 Jupiters,4.8262,2008
97,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
98,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
99,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
100,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
101,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
102,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
103,14 Herculis b,58,4.66 Jupiters,6.61935,2002
104,16 Cygni B b,69,1.78 Jupiters,6.215,1996
105,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
106,18 Delphini b,249,10.3 Jupiters,5.51048,2008
107,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
108,24 Bootis b,313,0.91 Jupiters,5.59,2018
109,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
110,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
111,2M0437 b,419,4 Jupiters,16.186,2021
112,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
113,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
114,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
115,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
116,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
117,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
118,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
119,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
120,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
121,42 Draconis b,296,3.88 Jupiters,4.8262,2008
122,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
123,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
124,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
125,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
126,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
127,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
128,14 Herculis b,58,4.66 Jupiters,6.61935,2002
129,16 Cygni B b,69,1.78 Jupiters,6.215,1996
130,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
131,18 Delphini b,249,10.3 Jupiters,5.51048,2008
132,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
133,24 Bootis b,313,0.91 Jupiters,5.59,2018
134,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
135,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
136,2M0437 b,419,4 Jupiters,16.186,2021
137,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
138,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
139,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
140,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
141,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
142,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
143,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
144,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
145,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
146,42 Draconis b,296,3.88 Jupiters,4.8262,2008
147,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
148,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
149,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
150,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
151,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
152,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
153,14 Herculis b,58,4.66 Jupiters,6.61935,2002
154,16 Cygni B b,69,1.78 Jupiters,6.215,1996
155,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
156,18 Delphini b,249,10.3 Jupiters,5.51048,2008
157,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
158,24 Bootis b,313,0.91 Jupiters,5.59,2018
159,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
160,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
161,2M0437 b,419,4 Jupiters,16.186,2021
162,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
163,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
164,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
165,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
166,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
167,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
168,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
169,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
170,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
171,42 Draconis b,296,3.88 Jupiters,4.8262,2008
172,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
173,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
174,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
175,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
176,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
177,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
178,14 Herculis b,58,4.66 Jupiters,6.61935,2002
179,16 Cygni B b,69,1.78 Jupiters,6.215,1996
180,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
181,18 Delphini b,249,10.3 Jupiters,5.51048,2008
182,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
183,24 Bootis b,313,0.91 Jupiters,5.59,2018
184,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
185,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
186,2M0437 b,419,4 Jupiters,16.186,2021
187,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
188,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
189,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
190,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
191,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
192,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
193,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
194,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
195,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
196,42 Draconis b,296,3.88 Jupiters,4.8262,2008
197,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
198,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
199,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
200,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
201,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
202,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
203,14 Herculis b,58,4.66 Jupiters,6.61935,2002
204,16 Cygni B b,69,1.78 Jupiters,6.215,1996
205,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
206,18 Delphini b,249,10.3 Jupiters,5.51048,2008
207,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
208,24 Bootis b,313,0.91 Jupiters,5.59,2018
209,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
210,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
211,2M0437 b,419,4 Jupiters,16.186,2021
212,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
213,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
214,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
215,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
216,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
217,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
218,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
219,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
220,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
221,42 Draconis b,296,3.88 Jupiters,4.8262,2008
222,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
223,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
224,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
225,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
226,51 Eridani b,97,2 Jupiters,5.21149,2015
227,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
228,55 Cancri b,41,0.8306 Jupiters,5.95084,1996
229,55 Cancri c,41,0.1714 Jupiters,5.95084,2004
230,55 Cancri d,41,3.878 Jupiters,5.95084,2002
231,55 Cancri e,41,7.99 Earths,5.95084,2004
232,55 Cancri f,41,0.141 Jupiters,5.95084,2007
233,61 Virginis b,28,5.1 Earths,4.6955,2009
234,61 Virginis c,28,18.2 Earths,4.6955,2009
235,61 Virginis d,28,22.9 Earths,4.6955,2009
236,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
237,70 Virginis b,58,7.49 Jupiters,4.96808,1996
238,75 Ceti b,271,3 Jupiters,5.3532,2012
239,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
240,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
241,81 Ceti b,330,5.3 Jupiters,5.64307,2008
242,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
243,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
244,AB Aurigae b,529,9 Jupiters,7.076,2022
245,AB Pictoris b,163,13.5 Jupiters,9.13,2005
246,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
247,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
248,AU Microscopii b,32,20.12 Earths,8.81,2020
249,AU Microscopii c,32,9.6 Earths,8.81,2021
